Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)","Latest Earnings"
A,"Agilent Technologies",36869836000,23.71,5.32,1240000000,1.05,0.933,0.74%,2024-08-20
AA,"Alcoa Corp",7620526000,0,-2.86,-651000000.,2.45,0.4,0.94%,2024-07-17
AAL,"American Airlines Gp",7243234000,4.94,2.25,822000000,1.44,N/A,0.00%,2024-07-18
AAON,"Aaon Inc",7155471000,39.01,2.21,177620000,0.8,0.32,0.37%,2024-08-01
AAP,"Advance Auto Parts Inc",3501004000,86.75,0.69,29740000,1.2,1,1.70%,2024-08-28
AAPL,"Apple Inc",3470715840000,34.46,6.43,96995000000,1.24,0.97,0.43%,2024-08-01
ABBV,"Abbvie Inc",295341440000,14.95,10.96,4863000000,0.64,6.06,3.62%,2024-07-25
ABNB,"Airbnb Inc Cl A",98216712000,33.64,4.54,4792000000,1.18,N/A,0.00%,2024-08-01
ABT,"Abbott Laboratories",180956720000,23.31,4.39,5723000000,0.72,2.12,2.04%,2024-07-18
ACGL,"Arch Capital Grp Ltd",36854736000,10.65,9.17,4443000000,0.58,N/A,0.00%,2024-07-30
ACHC,"Acadia Healthcr Company",6116656000,18.96,3.52,-21670000.,1.31,N/A,0.00%,2024-07-25
ACI,"Albertsons Companies Inc Cl A",11425446000,7.2,2.76,1296000000,0.49,0.48,2.43%,2024-07-23
ACM,"Aecom Technology Corp",11494562000,21.53,4.04,55330000,1.17,0.84,0.99%,2024-08-05
ACN,"Accenture Plc",187468960000,25.74,11.88,6871560000,1.23,4.99,1.67%,2024-06-20
ADBE,"Adobe Systems Inc",256435968000,40.9,13.94,5428000000,1.3,N/A,0.00%,2024-06-13
ADC,"Agree Realty Corp",6283087000,15.44,1.7,169960000,0.58,2.961,4.74%,2024-07-23
ADI,"Analog Devices",114571552000,30.15,7.63,3314580000,1.08,3.56,1.54%,2024-08-28
ADM,"Archer Daniels Midland",30338716000,9.89,6.34,3483000000,0.74,1.9,3.10%,2024-07-23
ADP,"Automatic Data Procs",96412576000,26.38,8.98,3412000000,0.78,5.45,2.31%,2024-07-31
