iShares Russell 1000 ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"120,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","2,799,925,259.52","6.71","2,799,925,259.52","16,713,976.00","167.52","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","2,559,772,580.00","6.13","2,559,772,580.00","10,288,475.00","248.80","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1,889,591,989.99","4.53","1,889,591,989.99","5,296,387.00","356.77","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","1,365,574,085.18","3.27","1,365,574,085.18","6,850,477.00","199.34","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1,138,844,323.10","2.73","1,138,844,323.10","4,151,215.00","274.34","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","991,677,819.56","2.38","991,677,819.56","3,298,117.00","300.68","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","925,326,046.88","2.22","925,326,046.88","3,380,063.00","273.76","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","819,725,755.68","1.96","819,725,755.68","1,559,244.00","525.72","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","729,099,028.56","1.75","729,099,028.56","2,015,032.00","361.83","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","617,082,378.77","1.48","617,082,378.77","1,317,173.00","468.49","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","548,708,185.80","1.31","548,708,185.80","1,939,995.00","282.84","United States","NYSE","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","515,887,431.38","1.24","515,887,431.38","3,017,062.00","170.99","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","502,489,407.20","1.20","502,489,407.20","572,155.00","878.24","United States","NYSE","USD","1.00","USD","-"
